Wisdom,Workstation,Location,Allowed Principles
Birdsong,Instrument: Quivering Double Bass,Mazarine Room,"Grail, Sky"
Birdsong,Instrument: Sunset Harp,Mazarine Room,"Moon, Sky"
Horomachistry,Altar: St Tentreto,Shrine to St Tentreto,"Knock, Moon, Moth, Scale"
Horomachistry,Great Clock,Tower Clock,"Forge, Knock, Sky, Winter"
Horomachistry,Shrine: the Chancel,Chancel of the Abbey Church,"Edge, Moth, Winter"
Horomachistry,Telescope,Watchman's Tower: Observatory,"Forge, Moon, Rose, Sky"
Hushery,Catacombs Altar,Catacombs,"Moon, Scale, Winter"
Hushery,Columbic Sarcophagus,Columbic Crypt,"Moth, Winter"
Hushery,Loggia Prospect,Gullscry Loggia,"Moon, Rose"
Hushery,Solar Altar,Nave of the Abbey Church,"Lantern, Sky, Winter"
Hushery,Spire Prospect,Spire,"Moth, Sky"
Hushery,Tower-Top Prospect,Gullscry Tower: Summit,"Sky, Winter"
Illumination,Practic Garden Dummy,Practic Garden,"Edge, Heart, Scale, Winter"
Illumination,Practice Equipment,Duelling Hall,"Edge, Heart, Lantern, Scale"
Illumination,Shrine: the Watchman,Radiant Stair,"Lantern, Rose, Sky"
Ithastry,Exercise Yard,Gaol Yard,"Edge, Heart, Knock, Winter"
Ithastry,Instrument: Bells,Bells,"Forge, Sky"
Ithastry,Oubliette Containment,Oubliette,"Edge, Forge, Lantern, Winter"
Ithastry,Shrine: the Madrugad,Glorious Stair,"Forge, Sky, Winter"
Nyctodromy,Altar: Ascite,Chapel Ascite,"Edge, Knock, Scale, Winter"
Nyctodromy,Altar: St Tentreto,Shrine to St Tentreto,"Knock, Moon, Moth, Scale"
Nyctodromy,Instrument: Hunter's Harp,Windlit Gallery,"Scale, Sky"
Nyctodromy,Mirrors,Hall of Division,"Knock, Lantern, Winter"
Nyctodromy,Shrine: St Januarius,Atrium,"Heart, Knock, Rose, Sky"
Preservation,Altar: Malachite,Chapel Malachite,"Heart, Moth, Nectar"
Preservation,Barber's Chair,Motley Tower: Illopoly's Nook,"Grail, Heart, Moth"
Preservation,Instrument: Hallowed Drum,Mazarine Room,"Heart, Sky"
Skolekosophy,Condignator,Crucible Tower: Interview Laboratory,"Edge, Forge, Knock, Lantern"
Skolekosophy,Nocturnary,Night Gallery,"Grail, Moon, Nectar, Winter"
Skolekosophy,Rowenarium (Workstation),Rowenarium (Room),"Grail, Moth, Rose, Winter"
The Bosk,Altar of the Knot,Our Lady Beneath,"Heart, Moon, Moth"
The Bosk,Calicite Altar,Chapel Calicite,"Grail, Heart, Moon"
The Bosk,Chrysalis,Cell: ?,"Heart, Moth, Nectar, Scale"
The Bosk,Deeplight Corals,Deeplight Caves,"Moon, Nectar, Rose, Scale"
